abato	aba-to
abdiki	ab-di-ki
abdomeno	ab-do-me-no
abelo	abe-lo
abio	abio
abism'?	abis-m'
abismo	abis-mo
abomeno	abo-me-no
aboni	abo-ni
abonpago	abon-pa-go
abrikoto	ab-ri-ko-to
abrupta	ab-rup-ta
absciso	ab-sci-so
absido	ab-si-do
absinto	ab-sin-to
absoluta	ab-so-lu-ta
absolutan	ab-so-lu-t-an
absolute	ab-so-lu-te
absorbita	ab-sor-bi-ta
abstini	ab-sti-ni
abstrakta	ab-strak-ta
abstraktan	ab-strak-t-an
absurda	ab-sur-da
absurdan	ab-sur-d-an
absurdo	ab-sur-do
abunda	abun-da
abutilo	abu-ti-lo
acero	ace-ro
acetilo	ace-ti-lo
acida	aci-da
acidaĵo	aci-d-aĵo
acideco	aci-d-eco
acidtone	acid-tone
aĉa	aĉa
aĉan	aĉ-an
aĉeti	aĉe-ti
aĉetis	aĉe-t-is
aĉetus	aĉe-t-us
aĉkoloran	aĉ-ko-lo-r-an
aĉulo	aĉ-ulo
adamantino	ada-man-ti-no
adapti	adap-ti
adeptoj	adep-t-oj
adiabato	adi-aba-to
adiaŭ	adi-aŭ
adicii	adi-cii
adjektiva	ad-jek-ti-va
adjektivaj	ad-jek-ti-v-aj
adjektivoj	ad-jek-ti-v-oj
adjektivon	ad-jek-ti-v-on
adjutanto	ad-ju-tan-to
administra	ad-mi-ni-s-tra
administracio	ad-mi-ni-s-tra-cio
administri	ad-mi-ni-s-tri
admiri	ad-miri
admoni	ad-mo-ni
adolto	adol-to
adopti	adop-ti
adori	ado-ri
adreslibro	ad-res-li-bro
adreslongo	ad-res-longo
adreso	ad-reso
adresreĝistro	ad-res-re-ĝi-s-tro
adresspaco	ad-res-spa-co
adreszono	ad-res-zo-no
adverbo	ad-ver-bo
adverbon	ad-ver-b-on
advokato	ad-vo-ka-to
aero	aero
aeroplano	aero-pla-no
aerŝvela	aer-ŝve-la
aerumi	aer-umi
afabla	afa-b-la
afable	afa-b-le
afereto	afer-eto
afero	afero
aferoj	afer-oj
aferon	afer-on
afgano	af-ga-no
afiksoj	afik-s-oj
afiŝo	afi-ŝo
aflikti	aflik-ti
afranki	afran-ki
afrikato	af-ri-ka-to
afriko	af-ri-ko
agadi	ag-adi
agadis	ag-ad-is
agado	ag-ado
agadon	ag-ad-on
agantoj	ag-an-t-oj
agas	ag-as
agato	aga-to
agema	ag-ema
agemaj	ag-em-aj
agento	agen-to
agis	ag-is
agitado	agi-t-ado
agiti	agi-ti
agito	agi-to
aglo	aglo
agnoskas	ag-no-s-k-as
agon	ag-on
agordo	agor-do
agos	ag-os
agrabla	agra-b-la
agrablan	agra-b-l-an
agregato	ag-re-ga-to
agro	agro
agus	ag-us
ajlo	aj-lo
ajnismo	ajn-ismo
ajnisto	ajn-isto
ajnuoj	aj-nu-oj
aĵoj	aĵ-oj
akademia	aka-de-mia
akademio	aka-de-mio
akceli	ak-ce-li
akcento	ak-cen-to
akceptas	ak-cep-t-as
akcepteblaj	ak-cep-t-eb-l-aj
akcepti	ak-cep-ti
akceptita	ak-cep-t-ita
akceptite	ak-cep-t-ite
akceptos	ak-cep-t-os
akceptu	ak-cep-tu
akcidento	ak-ci-den-to
akcio	ak-cio
akirado	akir-ado
akireblaj	akir-eb-l-aj
akiri	akiri
akiro	akiro
akno	ak-no
akompani	akom-pa-ni
akordo	akor-do
akra	akra
akredito	ak-re-di-to
akrido	akri-do
akrobato	ak-ro-ba-to
akso	ak-so
aktiva	ak-ti-va
akto	ak-to
aktoj	ak-t-oj
aktoro	ak-to-ro
aktuala	ak-tu-a-la
akumulo	aku-mu-lo
akurata	aku-ra-ta
akuŝistino	aku-ŝ-ist-ino
akuzativo	aku-za-ti-vo
akuzi	aku-zi
akvo	ak-vo
akvoblua	ak-vo-blua
akvodislimo	ak-vo-dis-li-mo
akvomelono	ak-vo-me-lo-no
akvon	ak-v-on
akvotreti	ak-vo-treti
alarmo	alar-mo
alaŭdfalko	alaŭd-fal-ko
alaŭdo	alaŭ-do
albumo	al-bu-mo
aldona	al-do-na
aldonaj	al-do-n-aj
aldonante	al-do-n-an-te
aldonas	al-do-n-as
aldoni	al-do-ni
aldoniĝas	al-do-n-iĝ-as
aldonis	al-do-n-is
aldonita	al-do-n-ita
aldonitan	al-do-n-it-an
aldono	al-do-no
aldonoj	al-do-n-oj
aldonon	al-do-n-on
aldonos	al-do-n-os
aldonu	al-do-nu
aleĉjo	ale-ĉjo
aleo	aleo
alesti	ales-ti
alfabetan	al-fa-be-t-an
alfabeto	al-fa-be-to
alfabetorda	al-fa-be-tor-da
alflugi	al-flu-gi
algo	al-go
alia	alia
aliaj	ali-aj
alian	ali-an
alie	alie
aliflanke	ali-flan-ke
alifoje	ali-foje
aligatoro	ali-ga-to-ro
aligi	aligi
aligos	alig-os
aliĝas	al-iĝ-as
aliĝi	al-iĝi
aliĝis	al-iĝ-is
aliiĝintaj	ali-iĝ-in-t-aj
alikvoto	ali-k-vo-to
aliloke	ali-lo-ke
aliris	alir-is
alislange	ali-slan-ge
alitema	ali-te-ma
alivorte	ali-vorte
alkalkulitaj	al-kal-kul-it-aj
alkalkulos	al-kal-kul-os
alkape	al-ka-pe
alkoholo	al-ko-ho-lo
alkonduki	al-kon-du-ki
alkondukiĝas	al-kon-du-k-iĝ-as
alkondukita	al-kon-du-k-ita
alkondukitaj	al-kon-du-k-it-aj
alkutimigadus	al-ku-ti-m-ig-ad-us
alkutimiĝas	al-ku-ti-m-iĝ-as
allasantan	al-la-s-an-t-an
allogo	al-lo-go
almenaŭ	al-me-naŭ
almezuri	al-me-zuri
almiliti	al-mi-liti
almozdonantoj	al-moz-do-n-an-t-oj
almozi	al-mo-zi
almozo	al-mo-zo
almozpeti	al-moz-peti
alopato	alo-pa-to
alparolis	al-pa-rol-is
alpaŝadis	al-pa-ŝ-ad-is
alpaŝas	al-pa-ŝ-as
alportadis	al-por-t-ad-is
alportas	al-por-t-as
alportata	al-por-t-ata
alporti	al-por-ti
alportos	al-por-t-os
alportus	al-por-t-us
alpremo	al-pre-mo
alprenas	al-pre-n-as
alprenis	al-pre-n-is
alprenitaj	al-pre-n-it-aj
alproksimigus	al-prok-si-m-ig-us
alproksimiĝis	al-prok-si-m-iĝ-is
alproksimiĝos	al-prok-si-m-iĝ-os
alprunti	al-prun-ti
alsaltas	al-sal-t-as
alŝvebis	al-ŝve-b-is
alta	alta
altabla	al-ta-b-la
altaj	alt-aj
altaĵo	alt-aĵo
altan	alt-an
altaro	al-ta-ro
alte	alte
alteco	alt-eco
alteflugaj	alte-flu-g-aj
alternativo	al-ter-na-ti-vo
alterni	al-ter-ni
altranĉi	altran-ĉi
altrudi	altru-di
altruisto	al-tru-isto
aludi	alu-di
aludis	alu-d-is
aluditaj	alu-d-it-aj
alumeto	alu-me-to
aluminio	alu-mi-nio
alvenantoj	al-ve-n-an-t-oj
alvenas	al-ve-n-as
alveni	al-ve-ni
alvenis	al-ve-n-is
alvenos	al-ve-n-os
amanto	am-an-to
amara	ama-ra
amas	am-as
amasego	ama-s-ego
amasiĝado	ama-s-iĝ-ado
amasloĝeja	amas-lo-ĝ-eja
amaso	ama-so
amatore	ama-to-re
amatoreco	ama-to-r-eco
amatoro	ama-to-ro
amatoroj	ama-to-r-oj
ambasado	am-ba-s-ado
ambasadoro	am-ba-sa-do-ro
ambaŭ	am-baŭ
amdeklaro	am-de-kla-ro
amegas	am-eg-as
amendo	amen-do
amerika	ame-ri-ka
amerikanoj	ame-ri-ka-n-oj
ameriko	ame-ri-ko
amerikon	ame-ri-k-on
ametisto	ame-ti-s-to
amikeco	ami-k-eco
amikiĝema	ami-k-iĝ-ema
amikiĝis	ami-k-iĝ-is
amiko	ami-ko
amikoj	ami-k-oj
amikon	ami-k-on
amindumi	amin-d-umi
aminta	am-in-ta
amita	am-ita
amon	am-on
ampere	am-pe-re
ampleksan	am-plek-s-an
amplekso	am-plek-so
ampolo	am-po-lo
amuleto	amu-le-to
amuzi	amu-zi
anaĥoreto	ana-ĥo-reto
analizado	ana-li-z-ado
analizataj	ana-li-z-at-aj
analizi	ana-li-zi
analizis	ana-li-z-is
analizitaj	ana-li-z-it-aj
analizo	ana-li-zo
analizos	ana-li-z-os
anara	an-ara
anaro	an-aro
anaso	ana-so
anatemo	ana-te-mo
andujo	an-du-jo
anekdoto	anek-do-to
anemono	ane-mo-no
angilo	an-gi-lo
angla	an-gla
anglalingvan	an-gla-lin-g-v-an
anglan	an-gl-an
anglo	an-glo
anglujo	an-gl-ujo
angstromo	ang-s-tro-mo
angulo	an-gu-lo
anĝelo	an-ĝe-lo
animalo	ani-ma-lo
animblinda	anim-blinda
animhava	anim-ha-va
animo	ani-mo
ankaŭ	an-kaŭ
ankoraŭ	an-ko-raŭ
ankroŝnuro	an-kro-ŝnu-ro
anoncas	anon-c-as
anonci	anon-ci
anoncĵurnaloj	anonc-ĵur-na-l-oj
ansero	an-se-ro
anstataŭ	an-sta-taŭ
anstataŭigi	an-sta-taŭ-igi
anstataŭiĝas	an-sta-taŭ-iĝ-as
antarkto	an-tark-to
antaŭ	an-taŭ
antaŭa	an-taŭa
antaŭaj	an-taŭ-aj
antaŭan	an-taŭ-an
antaŭdiri	an-taŭ-diri
antaŭdiris	an-taŭ-dir-is
antaŭe	an-taŭe
antaŭen	an-taŭ-en
antaŭi	an-taŭi
antaŭjuĝoj	an-taŭ-ju-ĝ-oj
antaŭparolo	an-taŭ-pa-rolo
antaŭsentas	an-taŭ-sen-t-as
antaŭstarus	an-taŭ-sta-r-us
antaŭtuko	an-taŭ-tu-ko
antaŭuloj	an-taŭ-ul-oj
antaŭurbo	an-taŭ-ur-bo
antaŭvenis	an-taŭ-ve-n-is
antaŭvidi	an-taŭ-vi-di
antaŭvidis	an-taŭ-vi-d-is
anteco	ant-eco
antidoto	an-ti-do-to
antigo	ant-igo
antikristo	an-ti-kri-s-to
antinomio	an-ti-no-mio
antipatioj	an-ti-pa-ti-oj
antipoda	an-ti-po-da
antracito	an-tra-ci-to
aoristo	aori-s-to
aparato	apa-ra-to
aparaton	apa-ra-t-on
aparta	apar-ta
apartaj	apar-t-aj
apartamento	apar-ta-men-to
apartan	apar-t-an
aparte	apar-te
apartenaĵo	apar-te-n-aĵo
apartenas	apar-te-n-as
aparteni	apar-te-ni
apartenon	apar-te-n-on
apartenus	apar-te-n-us
apatio	apa-tio
apenaŭ	ape-naŭ
apendicito?	apen-di-c-ito
aperantaj	ape-r-an-t-aj
aperas	ape-r-as
aperi	ape-ri
aperinta	ape-r-in-ta
aperintaj	ape-r-in-t-aj
aperis	ape-r-is
apero	ape-ro
aperoj	ape-r-oj
aperon	ape-r-on
aperos	ape-r-os
aperturo	aper-tu-ro
aperus	ape-r-us
apetito	ape-ti-to
aplaŭdado	aplaŭ-d-ado
aplaŭdi	aplaŭ-di
apliki	apli-ki
apliko	apli-ko
aplombo	aplom-bo
apogbastonon	apog-ba-s-to-n-on
apogi	apo-gi
apogis	apo-g-is
apostolo	apo-s-to-lo
apoteko	apo-te-ko
apreco	apre-co
aprilo	apri-lo
apro	apro
aprobas	apro-b-as
aprobi	apro-bi
aprobo	apro-bo
aprobon	apro-b-on
apsido	ap-si-do
apud	apud
apudĉambro	apud-ĉam-bro
apuddiga	apud-diga
apude	apude
apudĵeto	apud-ĵe-to
arabĉevaloj	arab-ĉe-va-l-oj
araneo	ara-neo
aranĝas	aran-ĝ-as
aranĝata	aran-ĝ-ata
aranĝi	aran-ĝi
aranĝis	aran-ĝ-is
aranĝita	aran-ĝ-ita
aranĝo	aran-ĝo
aranĝon	aran-ĝ-on
aranĝos	aran-ĝ-os
arbaro	arb-aro
arbaron	arb-ar-on
arbetaĵmanteloj	arbe-taĵ-man-te-l-oj
arbetaĵo	arbe-t-aĵo
arbeto	arb-eto
arbgregoj	arb-gre-g-oj
arbhava	arb-ha-va
arbitra	ar-bi-tra
arbitre	ar-bi-tre
arbitro	ar-bi-tro
arbitron	ar-bi-tr-on
arbkavaĵo	arb-ka-v-aĵo
arbo	arbo
arda	ar-da
arestis	ares-t-is
arestitajn	ares-t-it-ajn
arestito	ares-t-ito
arestitoj	ares-t-it-oj
arestitojn	ares-t-it-ojn
arestiton	ares-t-it-on
arestos	ares-t-os
argano	ar-ga-no
argilo	ar-gi-lo
argumentoj	ar-gu-men-t-oj
arĝento	ar-ĝen-to
arido	ari-do
ariĝo	ar-iĝo
aristo	ari-s-to
aristokrato	ari-s-to-kra-to
arkaikiĝis	ar-ka-i-k-iĝ-is
arkaĵhava	ar-kaĵ-ha-va
arkaĵo	ar-k-aĵo
arkis	ar-k-is
arko	ar-ko
armeo	ar-meo
armi	ar-mi
armilo	ar-mi-lo
armo	ar-mo
aroganto	aro-gan-to
aromato	aro-ma-to
arta	ar-ta
artaj	ar-t-aj
artan	ar-t-an
arte	ar-te
arterio	ar-te-rio
artifika	ar-tifi-ka
artiklo	ar-ti-klo
artiko	ar-ti-ko
artikolo	ar-ti-ko-lo
artikoloj	ar-ti-ko-l-oj
arto	ar-to
ascenda	as-cen-da
asekuri	ase-ku-ri
asembleo	asem-bleo
asertas	aser-t-as
aserti	aser-ti
asfalto	as-fal-to
asimileblaj	asi-mi-l-eb-l-aj
asimilita	asi-mi-l-ita
asimptoto	asimp-to-to
asisti	asi-s-ti
asizjuĝistaron	asiz-ju-ĝ-ist-ar-on
askarido	as-ka-ri-do
asketo	as-ke-to
asocio	aso-cio
aspektas	as-pek-t-as
aspekti	as-pek-ti
aspektis	as-pek-t-is
aspekto	as-pek-to
aspido	as-pi-do
atakanto	ata-kan-to
atakanton	ata-kan-t-on
atakaton	ata-k-at-on
ataki	ata-ki
atakoj	ata-k-oj
atendado	aten-d-ado
atendante	aten-d-an-te
atendantoj	aten-d-an-t-oj
atendi	aten-di
atendis	aten-d-is
atendo	aten-do
atendos	aten-d-os
atendu	aten-du
atenta	aten-ta
atentas	aten-t-as
atentata	aten-t-ata
atente	aten-te
atentema	aten-te-ma
atenti	aten-ti
atentigis	aten-t-ig-is
atentigu	aten-t-igu
atentinda	aten-t-inda
atentindan	aten-t-ind-an
atentitaj	aten-t-it-aj
atento	aten-to
atenton	aten-t-on
atentos	aten-t-os
atentu	aten-tu
atesti	ates-ti
atingas	atin-g-as
atingebla	atin-g-eb-la
atingeblecon	atin-g-eb-l-ec-on
atingi	atin-gi
atingis	atin-g-is
atingita	atin-g-ita
atingon	atin-g-on
atingos	atin-g-os
atingota	atin-go-ta
atlantiko	at-lan-ti-ko
atlanto	at-lan-to
atleto	at-le-to
atmosfero	at-mo-s-fe-ro
âtomato	âto-ma-to
atomo	ato-mo
âtoritato	âto-ri-ta-to
aŭdaca	aŭ-da-ca
aŭdadis	aŭ-d-ad-is
aŭdante	aŭ-d-an-te
aŭdas	aŭ-d-as
aŭdeblas	aŭ-d-eb-l-as
aŭdeble	aŭ-d-eb-le
aŭdi	aŭ-di
aŭdiĝas	aŭ-d-iĝ-as
aŭdis	aŭ-d-is
aŭditaj	aŭ-d-it-aj
aŭdos	aŭ-d-os
aŭgusto	aŭ-gu-s-to
aŭkcio	aŭk-cio
aŭskultantoj	aŭ-s-kul-t-an-t-oj
aŭskultas	aŭ-s-kul-t-as
aŭskulti	aŭ-s-kul-ti
aŭstralio	aŭ-s-tra-lio
aŭŝvico	aŭ-ŝ-vi-co
aŭta	aŭ-ta
aŭte	aŭ-te
aŭto	aŭ-to
aŭtobuso	aŭ-to-bu-so
aŭtoj	aŭ-t-oj
aŭtomataĵoj	aŭ-to-ma-t-aĵ-oj
aŭtomate	aŭ-to-ma-te
aŭtomato	aŭ-to-ma-to
aŭtomobilo	aŭ-to-mo-bi-lo
aŭton	aŭ-t-on
aŭtopordon	aŭ-to-por-d-on
aŭtoritata	aŭ-to-ri-ta-ta
aŭtoritataj	aŭ-to-ri-ta-t-aj
aŭtoritate	aŭ-to-ri-ta-te
aŭtoritato	aŭ-to-ri-ta-to
aŭtoritatoj	aŭ-to-ri-ta-t-oj
